Country,ISO3,HDI Rank,Education Inequality,Outbound Student %,Tertiary_Enrollment
Afghanistan,AFG,180,45.36517,7.72899,10.8584403991699
Albania,ALB,67,12.33344,9.02751,61.5853004455566
Andorra,AND,40,10.00815435,247.49716,15.0982704162598
United Arab Emirates,ARE,26,12.63435527,4.97146,55.7540512084961
Argentina,ARG,47,5.78729,0.28842,99.266227722168
Armenia,ARM,85,2.93495,5.63356,53.3061294555664
Australia,AUS,5,3.056569899,0.83008,110.139221191406
Austria,AUT,25,2.52241,5.71265,88.7071990966797
Azerbaijan,AZE,91,3.56506161,18.04238,36.3854713439941
Belgium,BEL,13,5.87561,3.29526,79.4996032714844
Benin,BEN,166,43.69355,7.01164,10.8024797439575
Burkina Faso,BFA,184,39.15279412,5.0322,7.6837100982666
Bangladesh,BGD,129,37.31177,1.42235,22.538854598999
Bulgaria,BGR,68,5.93179,11.23784,85.5331115722656
Bahrain,BHR,35,12.56789221,10.91064,56.6339988708496
Bosnia and Herzegovina,BIH,74,14.78890508,18.33002,40.8813400268555
Belarus,BLR,60,2.77203,6.39432,76.8908920288086
Belize,BLZ,123,14.81278,8.96476,25.7016506195068
Brazil,BRA,87,15.65257,0.9943,54.5727996826172
Bhutan,BTN,127,48.22657529,44.02602,16.850284576416
Botswana,BWA,117,23.27683,4.65327,24.0127906799316
Canada,CAN,15,2.521,2.88618,74.1571426391602
Switzerland,CHE,1,2.01457,5.83173,68.0676422119141
Chile,CHL,42,11.73821662,1.50709,89.1124877929688
China,CHN,79,11.68,2.20816,62.2367782592773
Cameroon,CMR,151,31.71699,7.75202,15.3162603378296
Colombia,COL,88,14.64929,2.41587,55.7331085205078
Cuba,CUB,83,9.09712,1.05718,45.9299087524414
Cyprus,CYP,29,9.5209,48.86651,92.9377593994141
Czechia,CZE,32,1.25563,3.83097,67.1843719482422
Germany,DEU,9,2.6632,3.76501,72.3894195556641
Denmark,DNK,6,2.50376,1.96177,82.6643295288086
Dominican Republic,DOM,80,15.04513,0.75531,58.7264099121094
Algeria,DZA,91,33.28262,2.07809,53.6140289306641
Ecuador,ECU,95,13.3739,2.69423,56.9066314697266
Spain,ESP,27,15.73379,2.20567,90.9548492431641
Estonia,EST,31,2.02737,8.35189,72.0443572998047
Finland,FIN,11,2.41555,3.71605,96.4726333618164
France,FRA,28,7.72173,3.96145,68.8709411621094
United Kingdom,GBR,18,2.84785,1.46618,69.5303802490234
Georgia,GEO,63,2.784805013,6.17054,71.3107528686523
Ghana,GHA,133,35.10167,3.49191,18.6487197875977
Greece,GRC,33,11.73784,5.04083,143.693344116211
Croatia,HRV,40,4.24197,6.20676,74.738037109375
Hungary,HUN,46,2.86309,4.81543,54.6020393371582
India,IND,132,36.87573,1.43562,29.8196392059326
Ireland,IRL,8,3.39666,6.41288,74.6803131103516
Iceland,ISL,3,2.20077,14.29812,74.5906066894531
Israel,ISR,22,6.272,4.78976,56.4272193908691
Italy,ITA,30,10.05442,4.16162,68.7231063842773
Jordan,JOR,102,15.44186,9.40028,30.2879695892334
Japan,JPN,19,4.511,0.84619,62.1358413696289
Kazakhstan,KAZ,56,3.16666,10.80152,64.8498611450195
Kuwait,KWT,50,22.10817735,18.95224,53.7298583984375
Lebanon,LBN,112,6.177,8.42878,51.6985816955566
Sri Lanka,LKA,73,11.99693,9.13949,20.8122158050537
Lithuania,LTU,35,3.57741,9.76704,69.1454772949219
Luxembourg,LUX,17,4.71707,170.78278,19.961389541626
Latvia,LVA,39,2.22774,6.66276,94.5108337402344
Morocco,MAR,123,41.87093,5.33591,40.02001953125
Moldova,MDA,80,2.570094084,25.40596,56.2498207092285
Madagascar,MDG,173,29.34582,3.16009,5.67685985565186
Mexico,MEX,86,13.48795481,0.70776,45.1654510498047
North Macedonia,MKD,78,8.36817,10.35996,43.782169342041
Malta,MLT,23,5.19238,7.12188,62.8752517700195
Montenegro,MNE,49,7.81501,22.91043,58.0944709777832
Mauritania,MRT,158,43.98689,25.03488,5.95125007629395
Mauritius,MUS,63,21.91298205,18.39059,42.537841796875
Malaysia,MYS,62,12.06360206,4.78352,42.4097671508789
Namibia,NAM,139,25.01567,6.39282,28.3682403564453
Netherlands,NLD,10,4.86674,2.07432,85.3370819091797
Norway,NOR,2,2.3324,5.41363,87.1685333251953
Nepal,NPL,143,41.0992,22.3702,13.9312324523926
New Zealand,NZL,13,1.840131778,2.01435,75.7348327636719
Oman,OMN,54,11.94880067,12.99186,48.3754386901855
Pakistan,PAK,161,43.52795,2.33917,11.944239616394
Panama,PAN,61,11.37222672,2.84426,45.2206611633301
Philippines,PHL,116,10.0958,0.77579,32.8472557067871
Poland,POL,34,4.45925,1.91047,70.9730377197266
Portugal,PRT,38,13.05276,4.69871,67.7980194091797
Qatar,QAT,42,11.22725944,22.01123,23.7649192810059
Romania,ROU,53,5.43438,5.80564,53.4911117553711
Rwanda,RWA,165,27.35907,6.98985,7.56710004806519
Saudi Arabia,SAU,35,18.11940114,3.68145,74.7805709838867
Senegal,SEN,170,47.1353,7.63675,14.2285404205322
El Salvador,SLV,125,23.7938081,2.34825,30.8192100524902
San Marino,SMR,44,5.562256324,119.21884,55.0960998535156
Serbia,SRB,63,7.19484,6.3259,68.5755081176758
Slovenia,SVN,23,2.05965,4.23518,75.8166809082031
Sweden,SWE,7,3.8679,3.33338,79.1196365356445
Seychelles,SYC,72,6.65648,68.68459,26.9342594146729
Chad,TCD,190,42.9329,29.3683,4.53319978713989
Togo,TGO,162,37.72766,6.38103,15.0659399032593
Thailand,THA,66,16.84539,1.64462,43.1145401000977
Turkmenistan,TKM,91,2.94467,106.49721,14.3487100601196
Tonga,TON,91,4.30943,33.15453,21.278299331665
Tunisia,TUN,97,30.70285,9.34798,33.1319389343262
Ukraine,UKR,77,3.59926,4.55811,82.1345977783203
Uruguay,URY,58,6.54951,3.62712,64.933219909668
United States,USA,21,2.745849765,0.57977,87.5676574707031
Uzbekistan,UZB,101,0.550110115,21.85901,15.972095489502
Samoa,WSM,111,7.02996,32.7114,16.3868522644043
South Africa,ZAF,109,17.29413,1.12771,25.1296806335449
