Country,Inbound_Score,Outbound_Score,GDP_Score,Enroll_Score,Ineq_Score
Luxembourg,1.0,0.0,0.9999999999999999,0.0,0.7929315536606123
Australia,0.5286378849432716,0.9985293444575393,0.4461428584963337,0.728816027838801,0.9124465204510485
United Kingdom,0.4055612857052645,0.9947920427494202,0.3070079619718731,0.40061591912796835,0.9274691945131972
Switzerland,0.36335697897152,0.9691429663905474,0.701465345386918,0.3887940898993065,0.9874447593849842
Austria,0.3598627570673796,0.9698426014910078,0.4032764111512563,0.5556027122614803,0.9508928310241832
Canada,0.3522638769023513,0.9864490645611967,0.3574940975815736,0.43800935080893166,0.950994316174996
New Zealand,0.34950638853221627,0.9915713594019283,0.33979185812720614,0.45076022126867765,1.0
Hungary,0.2651188245942704,0.9751140711318795,0.07740142371404,0.2799652677809352,0.9263722911810087
Netherlands,0.261856147515103,0.9912190154568947,0.4241618417217432,0.5283654702807233,0.7821590128647689
Latvia,0.2504683520323321,0.9642603852893085,0.09414053189665243,0.6025076097352877,0.9721017880383556
Estonia,0.240385627381228,0.9543361777209464,0.13922323077457527,0.42093384798817957,0.9865234757464009
Portugal,0.22506156987391332,0.9757998404376045,0.13416179899434572,0.3866150020180763,0.19296789637121686
Germany,0.21807312606563242,0.9812856423631992,0.36737973120008444,0.42372263651937025,0.9407594307526072
Belgium,0.19986528301092468,0.984045581802578,0.35033837312275784,0.4811870460994704,0.7095453078290067
Denmark,0.19683415075673058,0.9918802846083628,0.4911055491185802,0.5067643213328985,0.9522351700757131
Ireland,0.1961395162818111,0.9657285144369656,0.6687089433830401,0.4422376075514213,0.8879684387560862
France,0.1747952933251942,0.980131491211583,0.31577590260233995,0.3952863412579567,0.576670296042928
Iceland,0.16060791041320224,0.9194000740644951,0.6365697665022033,0.44151260145896165,0.9740429614549647
Finland,0.14926221398951733,0.9815732988505903,0.3913998665790569,0.6183628480068164,0.9585841099006703
Slovenia,0.1453470014945166,0.9785232352823842,0.16659969611531789,0.45142171687676536,0.984200113570348
Sweden,0.12970720104405667,0.9838216139655814,0.43693250353011903,0.4781161600284768,0.8540508057993597
Lithuania,0.11114151598711769,0.9460216949159712,0.10304807965427222,0.3975051386070846,0.8749589061253071
Japan,0.10209021828362136,0.9984346927824602,0.3100970599277758,0.34085335492360913,0.8077635004889642
United States,0.08891321278969416,1.0,0.5294291452495586,0.5463929520997293,0.9348106904223513
Poland,0.07548361294125075,0.9921816893837542,0.06438415051338826,0.41227545748783145,0.8114882214496438
Norway,0.07371545245963752,0.9715994446866715,0.6580289517130249,0.5431672361003331,0.96456885478725
Spain,0.06218031027006546,0.9904472899744841,0.2039258861708691,0.5737681906474985,0.0
Israel,0.053844696571031636,0.9752648910263103,0.3400126473096694,0.294716348534377,0.681015024899466
Italy,0.04209905908602942,0.9789554250538812,0.22765705430262106,0.39409154256314594,0.40877427019235046
Greece,0.04028879954533016,0.9737897702279179,0.11191903046704944,1.0,0.28760963715607946
Chile,0.003704717199570589,0.9945516827228849,0.05886692886427046,0.5588782500777426,0.2875825298245199
Mexico,0.0,0.999248015649077,0.0,0.2036988876061585,0.16164462621110248
